2026-02-08 02:22:44,000 INFO    MainThread:88220 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_setup.py:_flush():81] Configure stats pid to 88220
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_setup.py:_flush():81] Loading settings from /Users/sdan/.config/wandb/settings
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_setup.py:_flush():81] Loading settings from /Users/sdan/Developer/continualcode/wandb/settings
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /Users/sdan/Developer/continualcode/wandb/run-20260208_022243-m8n281h3/logs/debug.log
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /Users/sdan/Developer/continualcode/wandb/run-20260208_022243-m8n281h3/logs/debug-internal.log
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_init.py:init():813] calling init triggers
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'model_name': 'Qwen/Qwen3-4B-Instruct-2507', 'teacher_model': None, 'enforce_teacher_tokenizer_compat': True, 'lora_rank': 32, 'learning_rate': 1e-06, 'kl_coef': 1.0, 'train_signal': 'pure_sdpo', 'max_tokens': 16384, 'temperature': 0.7, 'num_rollouts': 4, 'batch_size': 16, 'min_sdpo_examples': 8, 'llm_feedback': True, 'llm_feedback_model': 'gpt-5.2-codex', 'split': 'train', 'max_problems': -1, 'feedback_template': 'Code failed with error:\n{error}\n\nFix the code.', 'skip_solved': True, 'eval_every': 10, 'eval_size': 50, 'eval_split': 'test', '_wandb': {}}
2026-02-08 02:22:44,002 INFO    MainThread:88220 [wandb_init.py:init():861] starting backend
2026-02-08 02:22:44,237 INFO    MainThread:88220 [wandb_init.py:init():864] sending inform_init request
2026-02-08 02:22:44,258 INFO    MainThread:88220 [wandb_init.py:init():872] backend started and connected
2026-02-08 02:22:44,262 INFO    MainThread:88220 [wandb_init.py:init():942] updated telemetry
2026-02-08 02:22:44,288 INFO    MainThread:88220 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2026-02-08 02:22:44,741 INFO    MainThread:88220 [wandb_init.py:init():1017] starting run threads in backend
2026-02-08 02:22:45,144 INFO    MainThread:88220 [wandb_run.py:_console_start():2506] atexit reg
2026-02-08 02:22:45,144 INFO    MainThread:88220 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-02-08 02:22:45,145 INFO    MainThread:88220 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-02-08 02:22:45,145 INFO    MainThread:88220 [wandb_run.py:_redirect():2446] Redirects installed.
2026-02-08 02:22:45,146 INFO    MainThread:88220 [wandb_init.py:init():1057] run started, returning control to user process
2026-02-08 02:26:32,288 INFO    wandb-AsyncioManager-main:88220 [service_client.py:_forward_responses():84] Reached EOF.
2026-02-08 02:26:32,288 INFO    wandb-AsyncioManager-main:88220 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
